þÿTipo esercizio storico pe;Insegna;Ubicazione;Tipo via;Descrizione via;Civico;Codice via;ZD;Forma commercio;Forma commercio prev;Forma vendita;Settore storico pe;Superficie somministrazione
;;CSO COLOMBO CRISTOFORO N. 3 (z.d. 6);CSO;COLOMBO CRISTOFORO;3;5114;6;;;;"Cibi cotti preconfezionati;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;Tavola fredda;BAR CAFFÿý";34
;;CSO COLOMBO CRISTOFORO N. 6 (z.d. 6);CSO;COLOMBO CRISTOFORO;6;5114;6;;;;Ristorante, trattoria, osteria;37
;;"CSO COMO N. 15 ingr. da via de tequeville; (z.d. 9)";CSO;COMO;15;1111;9;;;;"Bar gastronomici e simili;BAR CAFFÿý E SIMILI;Ristorante, trattoria, osteria";119
;;CSO CONCORDIA N. 10 (z.d. 4);CSO;CONCORDIA;10;3116;4;;;;Genere Merceol.Autorizz.Sanit.;53
;;CSO DI PORTA ROMANA N. 111 (z.d. 1);CSO;DI PORTA ROMANA;111;402;1;;;;"Ristorante, trattoria, osteria;Ristorante, trattoria, osteria;BAR CAFFÿý E SIMILI";35
;;"CSO DI PORTA ROMANA N. 131 ingresso in via caldara; (z.d. 1)";CSO;DI PORTA ROMANA;131;402;1;;;;"BAR CAFFÿý;Tavola fredda;Genere Merceol.Autorizz.Sanit.;Cibi cotti preconfezionati;Wine,birr.,pub enot.,caff.,the";20
;;CSO DI PORTA ROMANA N. 132 (z.d. 1);CSO;DI PORTA ROMANA;132;402;1;;;;Ristorante, trattoria, osteria;42
;;CSO DI PORTA ROMANA N. 51 (z.d. 1);CSO;DI PORTA ROMANA;51;402;1;;;;Bar gastronomici e simili;24
;;CSO DI PORTA TICINESE N. 1 (z.d. 1);CSO;DI PORTA TICINESE;1;541;1;;;;"Ristorante, trattoria, osteria;BAR CAFFÿý E SIMILI";185
;;CSO DI PORTA TICINESE N. 38 (z.d. 1);CSO;DI PORTA TICINESE;38;541;1;;;;"BAR CAFFÿý;BAR CAFFÿý E SIMILI;Tavola fredda";10
;;CSO DI PORTA TICINESE N. 59 (z.d. 1);CSO;DI PORTA TICINESE;59;541;1;;;;Genere Merceol.Autorizz.Sanit.;41
;;CSO DI PORTA TICINESE N. 6 (z.d. 1);CSO;DI PORTA TICINESE;6;541;1;;;;"Ristorante;Ristorante, trattoria, osteria;BAR CAFFÿý";78
;;CSO DI PORTA TICINESE N. 83 (z.d. 1);CSO;DI PORTA TICINESE;83;541;1;;;;"Tavola calda;Genere Merceol.Autorizz.Sanit.;Tav.calde,self service,fast f.";16
;;CSO DI PORTA VIGENTINA N. 10 (z.d. 1);CSO;DI PORTA VIGENTINA;10;4026;1;;;;Bar pasticc.gelat.crem.creper.;15
;;CSO DI PORTA VIGENTINA N. 2 (z.d. 1);CSO;DI PORTA VIGENTINA;2;4026;1;;;;Genere Merceol.Autorizz.Sanit.;31
;;CSO DI PORTA VIGENTINA N. 6 (z.d. 1);CSO;DI PORTA VIGENTINA;6;4026;1;;;;Genere Merceol.Autorizz.Sanit.;16
;;CSO DI PORTA VITTORIA N. 18 (z.d. 1);CSO;DI PORTA VITTORIA;18;3016;1;;;;"Cibi cotti preconfezionati;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý;Tavola fredda";60
;;CSO DI PORTA VITTORIA N. 47 (z.d. 1);CSO;DI PORTA VITTORIA;47;3016;1;;;;"Bar pasticc.gelat.crem.creper.;Bar pasticc.gelat.crem.creper.";98
;;"CSO DI PORTA VITTORIA N. 51 ingresso via donizetti; (z.d. 1)";CSO;DI PORTA VITTORIA;51;3016;1;;;;Genere Merceol.Autorizz.Sanit.;53
;;CSO EUROPA N. 18 (z.d. 1);CSO;EUROPA;18;300;1;;;;Genere Merceol.Autorizz.Sanit.;
;;CSO EUROPA N. 22 (z.d. 1);CSO;EUROPA;22;300;1;;;;Genere Merceol.Autorizz.Sanit.;34
;;CSO EUROPA N. 5 (z.d. 1);CSO;EUROPA;5;300;1;;;;Ristorante, trattoria, osteria;185
;;CSO GARIBALDI GIUSEPPE N. 104 (z.d. 1);CSO;GARIBALDI GIUSEPPE;104;1010;1;;;;"Bar pasticc.gelat.crem.creper.;BAR CAFFÿý;Gelateria;Genere Merceol.Autorizz.Sanit.;Tavola fredda";32
;;CSO GARIBALDI GIUSEPPE N. 12 (z.d. 1);CSO;GARIBALDI GIUSEPPE;12;1010;1;;;;"BAR CAFFÿý;BAR CAFFÿý E SIMILI;Tavola fredda;Bar pasticc.gelat.crem.creper.;Bar gastronomici e simili";118
;;CSO GARIBALDI GIUSEPPE N. 34 (z.d. 1);CSO;GARIBALDI GIUSEPPE;34;1010;1;;;;"Ristorante, trattoria, osteria;BAR CAFFÿý E SIMILI";58
;;CSO GARIBALDI GIUSEPPE N. 36 (z.d. 1);CSO;GARIBALDI GIUSEPPE;36;1010;1;;;;"Bar gastronomici e simili;BAR CAFFÿý E SIMILI";58
;;CSO GARIBALDI GIUSEPPE N. 59 (z.d. 1);CSO;GARIBALDI GIUSEPPE;59;1010;1;;;;"BAR CAFFÿý E SIMILI;Bar gastronomici e simili";117
;;CSO GARIBALDI GIUSEPPE N. 59 (z.d. 1);CSO;GARIBALDI GIUSEPPE;59;1010;1;;;;Bar gastronomici e simili;38
;;CSO GARIBALDI GIUSEPPE N. 68 (z.d. 1);CSO;GARIBALDI GIUSEPPE;68;1010;1;;;;"BAR CAFFÿý;Ristorante;Ristorante, trattoria, osteria;Wine,birr.,pub enot.,caff.,the";114
;;CSO GARIBALDI GIUSEPPE N. 79 (z.d. 1);CSO;GARIBALDI GIUSEPPE;79;1010;1;;;;Bar gastronomici e simili;60
;;CSO GARIBALDI GIUSEPPE N. 81 (z.d. 1);CSO;GARIBALDI GIUSEPPE;81;1010;1;;;;Genere Merceol.Autorizz.Sanit.;
;;"CSO GARIBALDI GIUSEPPE num.051/a /a; (z.d. 1)";CSO;ITALIA;34;526;1;;;;"Tavola fredda;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý;BAR CAFFÿý E SIMILI;Cibi cotti preconfezionati;Bar gastronomici e simili";43
;;"CSO GARIBALDI GIUSEPPE num.072/3 /3 con esposiz. in via palermo; (z.d. 1)";VIA;FOSCOLO UGO;4;205;1;;;;"BAR CAFFÿý;Tavola fredda;BAR CAFFÿý E SIMILI;Bar gastronomici e simili";52
;;CSO GENOVA N. 7 (z.d. 1);CSO;GENOVA;7;5164;1;;;;BAR CAFFÿý E SIMILI;19
;;CSO INDIPENDENZA N. 12 (z.d. 4);CSO;INDIPENDENZA;12;3118;4;;;;"Bar gastronomici e simili;BAR CAFFÿý E SIMILI";41
;;CSO ITALIA N. 34 (z.d. 1);CSO;ITALIA;34;526;1;;;;"Bar gastronomici e simili;BAR CAFFÿý E SIMILI";52
;;CSO ITALIA N. 6 (z.d. 1);CSO;ITALIA;6;526;1;;;;"Ristorante, trattoria, osteria;BAR CAFFÿý E SIMILI";97
;;"CSO ITALIA num.022/a a; (z.d. 1)";CSO;DI PORTA ROMANA;51;402;1;;;;Bar gastronomici e simili;82
;;CSO LODI N. 104 (z.d. 4);CSO;LODI;104;4068;4;;;;Genere Merceol.Autorizz.Sanit.;20
;;CSO LODI N. 59 (z.d. 4);CSO;LODI;59;4068;4;;;;Genere Merceol.Autorizz.Sanit.;29
;;CSO LODI N. 83 (z.d. 4);CSO;LODI;83;4068;4;;;;Genere Merceol.Autorizz.Sanit.;21
;;CSO LODI N. 92 (z.d. 4);CSO;LODI;92;4068;4;;;;Genere Merceol.Autorizz.Sanit.;36
;;CSO MAGENTA N. 24 (z.d. 1);CSO;MAGENTA;24;604;1;;;;"Bar gastronomici e simili;BAR CAFFÿý E SIMILI";186
;;CSO MAGENTA N. 48 (z.d. 1);CSO;MAGENTA;48;604;1;;;;"BAR CAFFÿý E SIMILI;Cibi cotti preconfezionati;BAR CAFFÿý;Bar gastronomici e simili;Tavola fredda";108
;;CSO MAGENTA N. 65 (z.d. 1);CSO;MAGENTA;65;604;1;;;;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý;Cibi cotti preconfezionati;Bar gastronomici e simili;Tavola fredda";31
;;CSO MAGENTA N. 87 (z.d. 1);CSO;MAGENTA;87;604;1;;;;"Ristorante;Ristorante, trattoria, osteria;Genere Merceol.Autorizz.Sanit.";104
;;"CSO MATTEOTTI GIACOMO N. 4 8ÿý piano; (z.d. 1)";CSO;MATTEOTTI GIACOMO;4;218;1;;;;Genere Merceol.Autorizz.Sanit.;60
;;"CSO MATTEOTTI GIACOMO N. 4 c/o hotel; (z.d. 1)";CSO;MATTEOTTI GIACOMO;4;218;1;;;;Genere Merceol.Autorizz.Sanit.;166
;;"CSO MATTEOTTI GIACOMO N. 6 c/o hotel; (z.d. 1)";CSO;MATTEOTTI GIACOMO;6;218;1;;;;Genere Merceol.Autorizz.Sanit.;179
;;CSO SAN GOTTARDO N. 2 (z.d. 5);CSO;SAN GOTTARDO;2;5203;5;;;;"Bar gastronomici e simili;Seconda bottiglia";139
;;CSO SAN GOTTARDO N. 49 (z.d. 5);CSO;SAN GOTTARDO;49;5203;5;;;;"Genere Merceol.Autorizz.Sanit.;Tavola calda;Bar gastronomici e simili;BAR CAFFÿý;Cibi cotti preconfezionati";47
;;CSO SAN GOTTARDO N. 8 (z.d. 5);CSO;SAN GOTTARDO;8;5203;5;;;;"Tav.calde,self service,fast f.;Bar pasticc.gelat.crem.creper.;Tavola fredda;Genere Merceol.Autorizz.Sanit.;Tavola calda;BAR CAFFÿý;Bar gastronomici e simili";41
;;CSO SEMPIONE N. 10 (z.d. 1);CSO;SEMPIONE;10;7137;1;;;;"Ristorante, trattoria, osteria;BAR CAFFÿý;Ristorante";101
;;CSO SEMPIONE N. 11 (z.d. 1);CSO;SEMPIONE;11;7137;1;;;;"Ristorante, trattoria, osteria;BAR CAFFÿý E SIMILI";89
;;CSO SEMPIONE N. 30 (z.d. 8);CSO;SEMPIONE;30;7137;8;;;;"Pizzeria;Pizzerie e simili;Ristorante;BAR CAFFÿý;BAR CAFFÿý E SIMILI;Ristorante, trattoria, osteria";204
;;CSO SEMPIONE N. 34 (z.d. 8);CSO;SEMPIONE;34;7137;8;;;;Genere Merceol.Autorizz.Sanit.;119
;;CSO SEMPIONE N. 34 (z.d. 8);CSO;SEMPIONE;34;7137;8;;;;Ristorante, trattoria, osteria;83
;;CSO SEMPIONE N. 81 (z.d. 8);CSO;SEMPIONE;81;7137;8;;;;Ristorante, trattoria, osteria;35
;;"CSO SEMPIONE N. 88 con ingr.da v.piero d.francesc; (z.d. 8)";CSO;SEMPIONE;88;7137;8;;;;"Genere Merceol.Autorizz.Sanit.;Ristorante, trattoria, osteria;Bar gastronomici e simili";85
;;CSO VENTIDUE MARZO N. 25 (z.d. 4);CSO;VENTIDUE MARZO;25;3074;4;;;;Bar gastronomici e simili;60
;;CSO VENTIDUE MARZO N. 49 (z.d. 4);CSO;VENTIDUE MARZO;49;3074;4;;;;"Tavola fredda;Cibi cotti preconfezionati;BAR CAFFÿý;Bar gastronomici e simili";24
;;GLL PASSARELLA N. 2 (z.d. 1);GLL;PASSARELLA;2;303;1;;;;"Ristorante;BAR CAFFÿý";
;;LGO AUGUSTO N. 3 (z.d. 1);LGO;AUGUSTO;3;315;1;;;;Bar gastronomici e simili;61
;;LGO BRASILIA N. 4 (z.d. 6);LGO;BRASILIA;4;6145;6;;;;"Ristorante;Ristorante, trattoria, osteria;Genere Merceol.Autorizz.Sanit.;Pizzeria;BAR CAFFÿý;Pizzerie e simili";98
;;LGO CAIROLI N. 2 (z.d. 1);LGO;CAIROLI;2;710;1;;;;Ristorante;
;;LGO DEI GELSOMINI N. 2 (z.d. 6);LGO;DEI GELSOMINI;2;5394;6;;;;"BAR CAFFÿý;Tavola fredda;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý E SIMILI;Bar gastronomici e simili;Cibi cotti preconfezionati";67
;;LGO LA FOPPA N. 5 (z.d. 1);LGO;LA FOPPA;5;1033;1;;;;"Bar gastronomici e simili;BAR CAFFÿý E SIMILI";43
;;LGO RODARI GIANNI N. 1 (z.d. 4);LGO;RODARI GIANNI;1;3305;4;;;;Bar gastronomici e simili;42
;;LGO SCHUSTER ILDEFONSO N. 1 (z.d. 1);LGO;SCHUSTER ILDEFONSO;1;311;1;;;;Ristorante, trattoria, osteria;93
;;LGO SETTIMIO SEVERO N. 1 (z.d. 7);LGO;SETTIMIO SEVERO;1;6210;7;;;;Bar gastronomici e simili;77
;;PLE ARDUINO N. 5 (z.d. 8);PLE;ARDUINO;5;6365;8;;;;Wine,birr.,pub enot.,caff.,the;21
;;PLE CANTORE ANTONIO N. 3 (z.d. 1);PLE;CANTORE ANTONIO;3;5103;1;;;;Genere Merceol.Autorizz.Sanit.;55
;;PLE CANTORE ANTONIO N. 4 (z.d. 1);PLE;CANTORE ANTONIO;4;5103;1;;;;"BAR CAFFÿý;BAR CAFFÿý E SIMILI;Tavola fredda";38
;;PLE CUOCO VINCENZO N. 4 (z.d. 4);PLE;CUOCO VINCENZO;4;3163;4;;;;"Trattoria;Pizzeria;Pizzerie e simili;BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.";55
;;"PLE DELLO SPORT N. 14 primo piano; (z.d. 7)";PLE;DELLO SPORT;14;6518;7;;;;BAR CAFFÿý E SIMILI;115
;;PLE DELLO SPORT N. 20 (z.d. 7);PLE;DELLO SPORT;20;6518;7;;;;Ristorante, trattoria, osteria;271
;;PLE GOVERNO PROVVISORIO DI LOMBARDIA N. 4 (z.d. 2);PLE;GOVERNO PROVVISORIO DI LOMBARDIA;4;2331;2;;;;Ristorante, trattoria, osteria;41
;;PLE ISTRIA N. 12 (z.d. 2);PLE;ISTRIA;12;1347;2;;;;"Tavola fredda;BAR CAFFÿý;Cibi cotti preconfezionati;Bar gastronomici e simili";45
;;PLE LAGOSTA N. 2 (z.d. 9);PLE;LAGOSTA;2;1155;9;;;;"BAR CAFFÿý E SIMILI;Bar gastronomici e simili";25
;;PLE LAGOSTA N. 4 (z.d. 9);PLE;LAGOSTA;4;1155;9;;;;Bar gastronomici e simili;59
;;PLE LUGANO N. 22 (z.d. 9);PLE;LUGANO;22;1238;9;;;;"Genere Merceol.Autorizz.Sanit.;Pizzeria;Ristorante, trattoria, osteria;Tavola calda;Trattoria;BAR CAFFÿý";206
;;PLE MACIACHINI CARLO N. 1 (z.d. 9);PLE;MACIACHINI CARLO;1;1361;9;;;;Genere Merceol.Autorizz.Sanit.;65
;;PLE PERRUCCHETTI GIUSEPPE N. 4 (z.d. 7);PLE;PERRUCCHETTI GIUSEPPE;4;6632;7;;;;Genere Merceol.Autorizz.Sanit.;10
;;PLE PRINCIPESSA CLOTILDE N. 10 (z.d. 9);PLE;PRINCIPESSA CLOTILDE;10;1061;9;;;;Genere Merceol.Autorizz.Sanit.;118
;;PLE STAZIONE DI PORTA GENOVA N. 2 (z.d. 6);PLE;STAZIONE DI PORTA GENOVA;2;5120;6;;;;Bar pasticc.gelat.crem.creper.;39
;;PLE SUSA N. 4 (z.d. 4);PLE;SUSA;4;3101;4;;;;;
;;PTA PATTARI N. 2 (z.d. 1);PTA;PATTARI;2;299;1;;;;Genere Merceol.Autorizz.Sanit.;34
;;PZA ANGILBERTO II N. 2 (z.d. 4);PZA;ANGILBERTO II;2;4278;4;;;;Bar gastronomici e simili;60
;;PZA BAUSAN GIOVANNI N. 4 (z.d. 9);PZA;BAUSAN GIOVANNI;4;1262;9;;;;"BAR CAFFÿý E SIMILI;Bar gastronomici e simili;Pizzerie e simili";25
;;PZA BECCARIA CESARE N. 10 (z.d. 1);PZA;BECCARIA CESARE;10;306;1;;;;Genere Merceol.Autorizz.Sanit.;136
;;PZA BOLIVAR SIMONE N. 4 (z.d. 6);PZA;BOLIVAR SIMONE;4;6129;6;;;;BAR CAFFÿý E SIMILI;44
;;PZA BONOMELLI GEREMIA N. 10 (z.d. 5);PZA;BONOMELLI GEREMIA;10;4150;5;;;;Genere Merceol.Autorizz.Sanit.;58
;;PZA BONOMELLI GEREMIA N. 4 (z.d. 5);PZA;BONOMELLI GEREMIA;4;4150;4;;;;Genere Merceol.Autorizz.Sanit.;52
;;PZA BONOMELLI GEREMIA N. 5 (z.d. 5);PZA;BONOMELLI GEREMIA;5;4150;5;;;;BAR CAFFÿý E SIMILI;43
;;PZA BONOMELLI GEREMIA N. 5 (z.d. 5);PZA;BONOMELLI GEREMIA;5;4150;5;;;;"Pizzeria;Ristorante, trattoria, osteria;Genere Merceol.Autorizz.Sanit.;Pizzerie e simili;Ristorante";83
;;PZA CARO TITO LUCREZIO N. 1 (z.d. 5);PZA;CARO TITO LUCREZIO;1;5208;5;;;;"Genere Merceol.Autorizz.Sanit.;Tavola fredda;Ristorante;BAR CAFFÿý;Ristorante, trattoria, osteria;BAR CAFFÿý E SIMILI";112
;;PZA CASTELLO N. 1 (z.d. 1);PZA;CASTELLO;1;704;1;;;;"BAR CAFFÿý E SIMILI;Ristorante, trattoria, osteria";248
;;PZA CAVOUR N. 7 (z.d. 1);PZA;CAVOUR;7;237;1;;;;"Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;BAR CAFFÿý;Tav.calde,self service,fast f.";34
;;PZA CINQUE GIORNATE N. 6 (z.d. 1);PZA;CINQUE GIORNATE;6;3053;1;;;;BAR CAFFÿý E SIMILI;31
;;PZA CINQUE GIORNATE N. 6 (z.d. 1);PZA;CINQUE GIORNATE;6;3053;1;;;;"Bar gastronomici e simili;BAR CAFFÿý;BAR CAFFÿý E SIMILI";15
;;"PZA CORDUSIO N. 2 con ingresso in via orefici; (z.d. 1)";PZA;CORDUSIO;2;626;1;;;;Genere Merceol.Autorizz.Sanit.;143
;;PZA DEL CARMINE N. 6 (z.d. 1);PZA;DEL CARMINE;6;129;1;;;;Wine,birr.,pub enot.,caff.,the;40
;;PZA DEL DUOMO N. 12 c/o palazzo reale (z.d. 1);PZA;DEL DUOMO;12;1;1;;;;Genere Merceol.Autorizz.Sanit.;96
;;PZA DEL DUOMO N. 12 (z.d. 1);PZA;DEL DUOMO;12;1;1;;;;Genere Merceol.Autorizz.Sanit.;
;;"PZA DEL DUOMO num.000 ; (z.d. 1)";PZA;DEL DUOMO;;1;1;;;;BAR CAFFÿý;
;;PZA DELLA TRIVULZIANA N. 2 (z.d. 9);PZA;DELLA TRIVULZIANA;2;1765;9;;;;Bar gastronomici e simili;43
;;PZA DELLA TRIVULZIANA N. 2 (z.d. 9);PZA;DELLA TRIVULZIANA;2;1765;9;;;;Wine,birr.,pub enot.,caff.,the;45
;;PZA DELLA TRIVULZIANA N. 3 (z.d. 9);PZA;DELLA TRIVULZIANA;3;1765;9;;;;"Bar gastronomici e simili;BAR CAFFÿý E SIMILI;Wine,birr.,pub enot.,caff.,the";63
;;PZA DELLA TRIVULZIANA N. 4 (z.d. 9);PZA;DELLA TRIVULZIANA;4;1765;9;;;;Bar gastronomici e simili;41
;;PZA DELLA TRIVULZIANA N. 5 (z.d. 9);PZA;DELLA TRIVULZIANA;5;1765;9;;;;"BAR CAFFÿý E SIMILI;Bar gastronomici e simili";70
;;PZA DEL TRICOLORE N. 4 (z.d. 1);PZA;DEL TRICOLORE;4;3047;1;;;;Genere Merceol.Autorizz.Sanit.;52
;;PZA DERGANO N. 2 (z.d. 9);PZA;DERGANO;2;1500;9;;;;"BAR CAFFÿý;Tavola fredda;Wine,birr.,pub enot.,caff.,the;Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý E SIMILI;Cibi cotti preconfezionati";31
;;PZA DERGANO N. 2 (z.d. 9);PZA;DERGANO;2;1500;9;;;;Genere Merceol.Autorizz.Sanit.;42
;;PZA DERGANO N. 3 (z.d. 9);PZA;DERGANO;3;1500;9;;;;somministrazione di alimenti e bevande;44
;;PZA DURANTE FRANCESCO N. 36 (z.d. 3);PZA;DURANTE FRANCESCO;36;2277;3;;;;Ristorante, trattoria, osteria;69
;;PZA ERCULEA N. 5 (z.d. 1);PZA;ERCULEA;5;409;1;;;;Genere Merceol.Autorizz.Sanit.;37
;;PZA GASPARRI PIETRO N. 4 (z.d. 9);PZA;GASPARRI PIETRO;4;1647;9;;;;BAR CAFFÿý E SIMILI;69
;;PZA GASPARRI PIETRO N. 4 (z.d. 9);PZA;GASPARRI PIETRO;4;1647;9;;;;"Tavola fredda;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;Cibi cotti preconfezionati;BAR CAFFÿý E SIMILI;BAR CAFFÿý";104
;;PZA GERUSALEMME N. 12 (z.d. 8);PZA;GERUSALEMME;12;7201;8;;;;"Bar gastronomici e simili;Tavola fredda;BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.";208
;;PZA GHIRLANDAIO DOMENICO N. 7 (z.d. 7);PZA;GHIRLANDAIO DOMENICO;7;6598;7;;;;"BAR CAFFÿý;Ristorante, trattoria, osteria;Ristorante;Bar gastronomici e simili;Genere Merceol.Autorizz.Sanit.";37
;;PZA GRAMSCI ANTONIO N. 10 (z.d. 8);PZA;GRAMSCI ANTONIO;10;7205;8;;;;Bar pasticc.gelat.crem.creper.;15
;;PZA GRAMSCI ANTONIO N. 14 (z.d. 8);PZA;GRAMSCI ANTONIO;14;7205;8;;;;"Bar gastronomici e simili;BAR CAFFÿý;Cibi cotti preconfezionati;Genere Merceol.Autorizz.Sanit.";90
;;PZA GUARDI FRANCESCO N. 15 (z.d. 3);PZA;GUARDI FRANCESCO;15;3312;3;;;;Genere Merceol.Autorizz.Sanit.;60
;;"PZA IMPERATORE TITO N. 1 angolo via lattanzio; (z.d. 4)";PZA;IMPERATORE TITO;1;3216;4;;;;"Bar gastronomici e simili;BAR CAFFÿý E SIMILI;BAR CAFFÿý;Tavola fredda";52
;;PZA LEGA LOMBARDA N. 1 (z.d. 1);PZA;LEGA LOMBARDA;1;7084;1;;;;Genere Merceol.Autorizz.Sanit.;87
;;"PZA LUIGI DI SAVOIA N. 20 c/o starhotels anderson; (z.d. 2)";PZA;LUIGI DI SAVOIA;20;2260;2;;;;"Ristorante;BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.;Ristorante, trattoria, osteria";119
;;"PZA LUIGI DI SAVOIA num.001/6 ; (z.d. 2)";VLE;DELLE RIMEMBRANZE DI GRECO;55;1412;2;;;;Bar gastronomici e simili;293
;;"PZA LUIGI DI SAVOIA num.001/9 ing. anche da int.staz. centr.; (z.d. 2)";VIA;PONTE SEVESO;44;1203;2;;;;"Tav.calde,self service,fast f.;BAR CAFFÿý E SIMILI";105
;;PZA MELOZZO DA FORLI' N. 5 (z.d. 7);PZA;MELOZZO DA FORLI';5;6619;7;;;;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÿý;Tavola fredda";70
;;"PZA MINNITI TITO N. 3 e civico 5; (z.d. 9)";PZA;MINNITI TITO;3;1133;9;;;;"Ristorante, trattoria, osteria;BAR CAFFÿý E SIMILI;Bar gastronomici e simili";56
;;PZA MONTE FALTERONA N. 1 (z.d. 7);PZA;MONTE FALTERONA;1;6558;7;;;;;
;;PZA MONTE FALTERONA N. 1 (z.d. 7);PZA;MONTE FALTERONA;1;6558;7;;;;Spaccio bevande analcoliche;
;;PZA MONTE FALTERONA N. 6 (z.d. 7);PZA;MONTE FALTERONA;6;6558;7;;;;Genere Merceol.Autorizz.Sanit.;80
;;PZA NAPOLI N. 19 (z.d. 6);PZA;NAPOLI;19;5131;6;;;;BAR CAFFÿý E SIMILI;39
;;PZA OBERDAN GUGLIELMO N. 2 (z.d. 1);PZA;OBERDAN GUGLIELMO;2;2108;1;;;;BAR CAFFÿý E SIMILI;40
;;PZA PO' N. 10 (z.d. 7);PZA;PO';10;6234;7;;;;Bar pasticc.gelat.crem.creper.;30
;;PZA PREALPI N. 3 (z.d. 8);PZA;PREALPI;3;7300;8;;;;Genere Merceol.Autorizz.Sanit.;90
;;PZA RISORGIMENTO N. 5 (z.d. 3);PZA;RISORGIMENTO;5;3117;3;;;;BAR CAFFÿý E SIMILI;31
;;PZA SANTA FRANCESCA ROMANA N. 1 (z.d. 3);PZA;SANTA FRANCESCA ROMANA;1;2183;3;;;;Bar pasticc.gelat.crem.creper.;29
;;PZA SANT' ALESSANDRO N. 3 (z.d. 1);PZA;SANT' ALESSANDRO;3;530;1;;;;"BAR CAFFÿý;Tavola fredda;Bar gastronomici e simili";56
;;PZA SANTA MARIA BELTRADE N. 1 (z.d. 1);PZA;SANTA MARIA BELTRADE;1;514;1;;;;"BAR CAFFÿý;BAR CAFFÿý E SIMILI;Tavola fredda;Genere Merceol.Autorizz.Sanit.";110
;;PZA SANT' EUFEMIA N. 1 (z.d. 1);PZA;SANT' EUFEMIA;1;406;1;;;;Bar gastronomici e simili;35
;;PZA SANT' EUSTORGIO N. 4 (z.d. 1);PZA;SANT' EUSTORGIO;4;5186;1;;;;"Bar pasticc.gelat.crem.creper.;Bar gastronomici e simili;Ristorante, trattoria, osteria";45
