Tipo esercizio storico,Insegna,Tipo via,Nome via,Civico,Codice via,ZD,Forma commercio,Forma commercio prev,Forma vendita,Settore storico,Superficie somministrazione,Isolato,Accesso
ristorante,,CSO,MAGENTA,87,604,1,somministrazione,somministrazione,misto,"ristorante;ristorante, trattoria, osteria;genere merceol.autorizz.sanit.",104,,
genere merceol.autorizz.sanit.,,CSO,MATTEOTTI GIACOMO,4,218,1,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.,60,,
genere merceol.autorizz.sanit.,,CSO,MATTEOTTI GIACOMO,6,218,1,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.,179,,
bar gastronomici e simili,,CSO,SAN GOTTARDO,2,5203,5,somministrazione,somministrazione,misto,bar gastronomici e simili,139,,
genere merceol.autorizz.sanit.,,CSO,SAN GOTTARDO,49,5203,5,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.;tavola calda;bar gastronomici e simili;bar-caffe';cibi cotti preconfezionati,47,,
"tav.calde,self service,fast f.",,CSO,SAN GOTTARDO,8,5203,5,somministrazione,somministrazione,misto,"tav.calde,self service,fast f.;bar pasticc.gelat.crem.creper.;tavola fredda;genere merceol.autorizz.sanit.;tavola calda;bar-caffe';bar gastronomici e simili",41,,
"ristorante, trattoria, osteria",,CSO,SEMPIONE,10,7137,1,somministrazione,somministrazione,misto,"ristorante, trattoria, osteria;bar-caffe';ristorante",101,,
"ristorante, trattoria, osteria",,CSO,SEMPIONE,11,7137,1,somministrazione,somministrazione,misto,"ristorante, trattoria, osteria;bar-caffe'",89,,
pizzeria,,CSO,SEMPIONE,30,7137,8,somministrazione,somministrazione,misto,"pizzeria;ristorante;bar-caffe';ristorante, trattoria, osteria",204,,
genere merceol.autorizz.sanit.,,CSO,SEMPIONE,34,7137,8,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.,119,,
"ristorante, trattoria, osteria",,CSO,SEMPIONE,34,7137,8,somministrazione,somministrazione,misto,"ristorante, trattoria, osteria",83,,
"ristorante, trattoria, osteria",,CSO,SEMPIONE,81,7137,8,somministrazione,somministrazione,misto,"ristorante, trattoria, osteria",35,,
genere merceol.autorizz.sanit.,,CSO,SEMPIONE,88,7137,8,somministrazione,somministrazione,misto,"genere merceol.autorizz.sanit.;ristorante, trattoria, osteria;bar gastronomici e simili",85,,
bar gastronomici e simili,,CSO,VENTIDUE MARZO,25,3074,4,somministrazione,somministrazione,misto,bar gastronomici e simili,60,,
tavola fredda,,CSO,VENTIDUE MARZO,49,3074,4,somministrazione,somministrazione,misto,tavola fredda;cibi cotti preconfezionati;bar-caffe';bar gastronomici e simili,24,,
ristorante,,GLL,PASSARELLA,2,303,1,somministrazione,somministrazione,misto,ristorante;bar-caffe',86,,
bar gastronomici e simili,,LGO,AUGUSTO,3,315,1,somministrazione,somministrazione,misto,bar gastronomici e simili,61,,
ristorante,,LGO,BRASILIA,4,6145,6,somministrazione,somministrazione,misto,"ristorante;ristorante, trattoria, osteria;genere merceol.autorizz.sanit.;pizzeria;bar-caffe'",98,,
ristorante,,LGO,CAIROLI,2,710,1,somministrazione,somministrazione,misto,ristorante,86,,
bar-caffe',,LGO,DEI GELSOMINI,2,5394,6,somministrazione,somministrazione,misto,bar-caffe';tavola fredda;genere merceol.autorizz.sanit.;bar gastronomici e simili;cibi cotti preconfezionati,67,,
bar gastronomici e simili,,LGO,LA FOPPA,5,1033,1,somministrazione,somministrazione,misto,bar gastronomici e simili;bar-caffe',43,,
bar gastronomici e simili,,LGO,RODARI GIANNI,1,3305,4,somministrazione,somministrazione,misto,bar gastronomici e simili,42,,
"ristorante, trattoria, osteria",,LGO,SCHUSTER ILDEFONSO,1,311,1,somministrazione,somministrazione,misto,"ristorante, trattoria, osteria",93,,
bar gastronomici e simili,,LGO,SETTIMIO SEVERO,1,6210,7,somministrazione,somministrazione,misto,bar gastronomici e simili,77,,
"wine,birr.,pub enot.,caff.,the",,PLE,ARDUINO,5,6365,8,somministrazione,somministrazione,misto,"wine,birr.,pub enot.,caff.,the",21,,
genere merceol.autorizz.sanit.,,PLE,CANTORE ANTONIO,3,5103,1,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.,55,,
bar-caffe',,PLE,CANTORE ANTONIO,4,5103,1,somministrazione,somministrazione,misto,bar-caffe';tavola fredda,38,,
trattoria,,PLE,CUOCO VINCENZO,4,3163,4,somministrazione,somministrazione,misto,trattoria;pizzeria;bar-caffe';genere merceol.autorizz.sanit.,55,,
bar-caffe',,PLE,DELLO SPORT,14,6518,7,somministrazione,somministrazione,misto,bar-caffe',115,,
"ristorante, trattoria, osteria",,PLE,DELLO SPORT,20,6518,7,somministrazione,somministrazione,misto,"ristorante, trattoria, osteria",86,,
"ristorante, trattoria, osteria",,PLE,GOVERNO PROVVISORIO DI LOMBARDIA,4,2331,2,somministrazione,somministrazione,misto,"ristorante, trattoria, osteria",41,,
tavola fredda,,PLE,ISTRIA,12,1347,2,somministrazione,somministrazione,misto,tavola fredda;bar-caffe';cibi cotti preconfezionati;bar gastronomici e simili,45,,
bar gastronomici e simili,,PLE,LAGOSTA,4,1155,9,somministrazione,somministrazione,misto,bar gastronomici e simili,59,,
genere merceol.autorizz.sanit.,,PLE,LUGANO,22,1238,9,somministrazione,somministrazione,misto,"genere merceol.autorizz.sanit.;pizzeria;ristorante, trattoria, osteria;tavola calda;trattoria;bar-caffe'",206,,
genere merceol.autorizz.sanit.,,PLE,MACIACHINI CARLO,1,1361,9,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.,65,,
genere merceol.autorizz.sanit.,,PLE,PERRUCCHETTI GIUSEPPE,4,6632,7,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.,10,,
genere merceol.autorizz.sanit.,,PLE,PRINCIPESSA CLOTILDE,10,1061,9,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.,118,,
bar pasticc.gelat.crem.creper.,,PLE,STAZIONE DI PORTA GENOVA,2,5120,6,somministrazione,somministrazione,misto,bar pasticc.gelat.crem.creper.,39,,
genere merceol.autorizz.sanit.,,PTA,PATTARI,2,299,1,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.,34,,
bar gastronomici e simili,,PZA,ANGILBERTO II,2,4278,4,somministrazione,somministrazione,misto,bar gastronomici e simili,60,,
bar-caffe',,PZA,BAUSAN GIOVANNI,4,1262,9,somministrazione,somministrazione,misto,bar-caffe';bar gastronomici e simili;pizzeria,25,,
genere merceol.autorizz.sanit.,,PZA,BECCARIA CESARE,10,306,1,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.,136,,
bar-caffe',,PZA,BOLIVAR SIMONE,4,6129,6,somministrazione,somministrazione,misto,bar-caffe',44,,
genere merceol.autorizz.sanit.,,PZA,BONOMELLI GEREMIA,10,4150,5,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.,58,,
genere merceol.autorizz.sanit.,,PZA,BONOMELLI GEREMIA,4,4150,4,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.,52,,
bar-caffe',,PZA,BONOMELLI GEREMIA,5,4150,5,somministrazione,somministrazione,misto,bar-caffe',43,,
pizzeria,,PZA,BONOMELLI GEREMIA,5,4150,5,somministrazione,somministrazione,misto,"pizzeria;ristorante, trattoria, osteria;genere merceol.autorizz.sanit.;ristorante",83,,
genere merceol.autorizz.sanit.,,PZA,CARO TITO LUCREZIO,1,5208,5,somministrazione,somministrazione,misto,"genere merceol.autorizz.sanit.;tavola fredda;ristorante;bar-caffe';ristorante, trattoria, osteria",86,,
bar-caffe',,PZA,CASTELLO,1,704,1,somministrazione,somministrazione,misto,"bar-caffe';ristorante, trattoria, osteria",248,,
genere merceol.autorizz.sanit.,,PZA,CAVOUR,7,237,1,somministrazione,somministrazione,misto,"genere merceol.autorizz.sanit.;bar gastronomici e simili;bar-caffe';tav.calde,self service,fast f.",34,,
bar-caffe',,PZA,CINQUE GIORNATE,6,3053,1,somministrazione,somministrazione,misto,bar-caffe',31,,
bar gastronomici e simili,,PZA,CINQUE GIORNATE,6,3053,1,somministrazione,somministrazione,misto,bar gastronomici e simili;bar-caffe',15,,
genere merceol.autorizz.sanit.,,PZA,CORDUSIO,2,626,1,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.,143,,
"wine,birr.,pub enot.,caff.,the",,PZA,DEL CARMINE,6,129,1,somministrazione,somministrazione,misto,"wine,birr.,pub enot.,caff.,the",40,,
genere merceol.autorizz.sanit.,,PZA,DEL DUOMO,12,1,1,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.,96,,
bar-caffe',,PZA,DEL DUOMO,000,1,1,somministrazione,somministrazione,misto,bar-caffe',86,,
bar gastronomici e simili,,PZA,DELLA TRIVULZIANA,2,1765,9,somministrazione,somministrazione,misto,bar gastronomici e simili,43,,
"wine,birr.,pub enot.,caff.,the",,PZA,DELLA TRIVULZIANA,2,1765,9,somministrazione,somministrazione,misto,"wine,birr.,pub enot.,caff.,the",45,,
bar gastronomici e simili,,PZA,DELLA TRIVULZIANA,3,1765,9,somministrazione,somministrazione,misto,"bar gastronomici e simili;bar-caffe';wine,birr.,pub enot.,caff.,the",63,,
bar gastronomici e simili,,PZA,DELLA TRIVULZIANA,4,1765,9,somministrazione,somministrazione,misto,bar gastronomici e simili,41,,
bar-caffe',,PZA,DELLA TRIVULZIANA,5,1765,9,somministrazione,somministrazione,misto,bar-caffe';bar gastronomici e simili,70,,
genere merceol.autorizz.sanit.,,PZA,DEL TRICOLORE,4,3047,1,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.,52,,
bar-caffe',,PZA,DERGANO,2,1500,9,somministrazione,somministrazione,misto,"bar-caffe';tavola fredda;wine,birr.,pub enot.,caff.,the;genere merceol.autorizz.sanit.;cibi cotti preconfezionati",31,,
genere merceol.autorizz.sanit.,,PZA,DERGANO,2,1500,9,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.,42,,
"tav.calde,self service,fast f.",,PZA,DERGANO,3,1500,9,somministrazione,somministrazione,misto,"tav.calde,self service,fast f.",44,,
"ristorante, trattoria, osteria",,PZA,DURANTE FRANCESCO,36,2277,3,somministrazione,somministrazione,misto,"ristorante, trattoria, osteria",69,,
genere merceol.autorizz.sanit.,,PZA,ERCULEA,5,409,1,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.,37,,
bar-caffe',,PZA,GASPARRI PIETRO,4,1647,9,somministrazione,somministrazione,misto,bar-caffe',69,,
tavola fredda,,PZA,GASPARRI PIETRO,4,1647,9,somministrazione,somministrazione,misto,tavola fredda;genere merceol.autorizz.sanit.;bar gastronomici e simili;cibi cotti preconfezionati;bar-caffe',104,,
bar gastronomici e simili,,PZA,GERUSALEMME,12,7201,8,somministrazione,somministrazione,misto,bar gastronomici e simili;tavola fredda;bar-caffe';genere merceol.autorizz.sanit.,208,,
bar pasticc.gelat.crem.creper.,,PZA,GRAMSCI ANTONIO,10,7205,8,somministrazione,somministrazione,misto,bar pasticc.gelat.crem.creper.,15,,
bar gastronomici e simili,,PZA,GRAMSCI ANTONIO,14,7205,8,somministrazione,somministrazione,misto,bar gastronomici e simili;bar-caffe';cibi cotti preconfezionati;genere merceol.autorizz.sanit.,90,,
genere merceol.autorizz.sanit.,,PZA,GUARDI FRANCESCO,15,3312,3,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.,60,,
bar gastronomici e simili,,PZA,IMPERATORE TITO,1,3216,4,somministrazione,somministrazione,misto,bar gastronomici e simili;bar-caffe';tavola fredda,52,,
genere merceol.autorizz.sanit.,,PZA,LEGA LOMBARDA,1,7084,1,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.,87,,
ristorante,,PZA,LUIGI DI SAVOIA,20,2260,2,somministrazione,somministrazione,misto,"ristorante;bar-caffe';genere merceol.autorizz.sanit.;ristorante, trattoria, osteria",86,,
bar gastronomici e simili,,PZA, LUIGI DI SAVOIA,001/6,1412,2,somministrazione,somministrazione,misto,bar gastronomici e simili,293,,
"tav.calde,self service,fast f.",,PZA, LUIGI DI SAVOIA,001/9,1203,2,somministrazione,somministrazione,misto,"tav.calde,self service,fast f.;bar-caffe'",105,,
genere merceol.autorizz.sanit.,,PZA,MELOZZO DA FORLI',5,6619,7,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.;bar-caffe';tavola fredda,70,,
"ristorante, trattoria, osteria",,PZA,MINNITI TITO,3,1133,9,somministrazione,somministrazione,misto,"ristorante, trattoria, osteria;bar-caffe';bar gastronomici e simili",56,,
spaccio bevande analcoliche,,PZA,MONTE FALTERONA,1,6558,7,somministrazione,somministrazione,misto,spaccio bevande analcoliche,86,,
genere merceol.autorizz.sanit.,,PZA,MONTE FALTERONA,6,6558,7,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.,80,,
bar-caffe',,PZA,NAPOLI,19,5131,6,somministrazione,somministrazione,misto,bar-caffe',39,,
bar-caffe',,PZA,OBERDAN GUGLIELMO,2,2108,1,somministrazione,somministrazione,misto,bar-caffe',40,,
bar pasticc.gelat.crem.creper.,,PZA,PO',10,6234,7,somministrazione,somministrazione,misto,bar pasticc.gelat.crem.creper.,30,,
genere merceol.autorizz.sanit.,,PZA,PREALPI,3,7300,8,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.,90,,
bar-caffe',,PZA,RISORGIMENTO,5,3117,3,somministrazione,somministrazione,misto,bar-caffe',31,,
bar pasticc.gelat.crem.creper.,,PZA,SANTA FRANCESCA ROMANA,1,2183,3,somministrazione,somministrazione,misto,bar pasticc.gelat.crem.creper.,29,,
bar gastronomici e simili,,PZA,SANT' EUFEMIA,1,406,1,somministrazione,somministrazione,misto,bar gastronomici e simili,35,,
bar pasticc.gelat.crem.creper.,,PZA,SANT' EUSTORGIO,4,5186,1,somministrazione,somministrazione,misto,"bar pasticc.gelat.crem.creper.;bar gastronomici e simili;ristorante, trattoria, osteria",45,,
genere merceol.autorizz.sanit.,,PZA,SEI FEBBRAIO,16,6358,8,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.,86,,
cibi cotti preconfezionati,,PZA,SEMPIONE,5,7111,1,somministrazione,somministrazione,misto,cibi cotti preconfezionati;bar-caffe';tavola fredda,27,,
genere merceol.autorizz.sanit.,,PZA,SEMPIONE,002/a,7111,1,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.,86,,
genere merceol.autorizz.sanit.,,PZA,TIRANA,12,5378,6,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.,31,,
ristorante,,PZA,VELASCA,4,335,1,somministrazione,somministrazione,misto,"ristorante;genere merceol.autorizz.sanit.;bar-caffe';ristorante, trattoria, osteria",432,,
bar pasticc.gelat.crem.creper.,,PZA,VENTICINQUE APRILE,7,1064,9,somministrazione,somministrazione,misto,bar pasticc.gelat.crem.creper.,23,,
bar pasticc.gelat.crem.creper.,,PZA,VENTIQUATTRO MAGGIO,10,5200,5,somministrazione,somministrazione,misto,"bar pasticc.gelat.crem.creper.;bar-caffe';bar gastronomici e simili;ristorante, trattoria, osteria",80,,
"ristorante, trattoria, osteria",,PZA,VENTIQUATTRO MAGGIO,10,5200,5,somministrazione,somministrazione,misto,"ristorante, trattoria, osteria;bar-caffe'",48,,
bar gastronomici e simili,,PZA,VENTIQUATTRO MAGGIO,8,5200,5,somministrazione,somministrazione,misto,bar gastronomici e simili,45,,
tavola fredda,,PZA,VESUVIO,14,6110,7,somministrazione,somministrazione,misto,tavola fredda;cibi cotti preconfezionati;bar gastronomici e simili;bar-caffe',38,,
bar-caffe',,PZA,VIGILI DEL FUOCO,7,2710,3,somministrazione,somministrazione,misto,bar-caffe';gelateria;bar pasticc.gelat.crem.creper.,35,,
"wine,birr.,pub enot.,caff.,the",,RIP,DI PTA TICINESE,17,5150,6,somministrazione,somministrazione,misto,"wine,birr.,pub enot.,caff.,the",16,,
bar-caffe',,RIP,DI PTA TICINESE,27,5150,6,somministrazione,somministrazione,misto,"bar-caffe';genere merceol.autorizz.sanit.;trattoria;ristorante, trattoria, osteria",38,,
"ristorante, trattoria, osteria",,RIP,DI PTA TICINESE,37,5150,6,somministrazione,somministrazione,misto,"ristorante, trattoria, osteria",38,,
genere merceol.autorizz.sanit.,,RIP,DI PTA TICINESE,49,5150,6,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.,18,,
genere merceol.autorizz.sanit.,,RIP,DI PTA TICINESE,53,5150,6,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.,77,,
"wine,birr.,pub enot.,caff.,the",,RIP,DI PTA TICINESE,61,5150,6,somministrazione,somministrazione,misto,"wine,birr.,pub enot.,caff.,the",86,,
bar-caffe',,RIP,DI PTA TICINESE,79,5150,6,somministrazione,somministrazione,misto,"bar-caffe';ristorante, trattoria, osteria",180,,
pizzeria,,RIP,DI PTA TICINESE,79,5150,6,somministrazione,somministrazione,misto,pizzeria,317,,
bar-caffe',,RIP,DI PTA TICINESE,9,5150,6,somministrazione,somministrazione,misto,"bar-caffe';tav.calde,self service,fast f.;genere merceol.autorizz.sanit.;bar gastronomici e simili",62, 074,
genere merceol.autorizz.sanit.,,VIA,ABBAZIA,4,1310,2,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.,32,,
"ristorante, trattoria, osteria",,VIA,ADIGE,17,4216,5,somministrazione,somministrazione,misto,"ristorante, trattoria, osteria",87,,
"ristorante, trattoria, osteria",,VIA,ADIGE,23,4216,5,somministrazione,somministrazione,misto,"ristorante, trattoria, osteria",90,,
ristorante,,VIA,ADRIANO PUBLIO ELIO,110,2410,2,somministrazione,somministrazione,misto,"ristorante;genere merceol.autorizz.sanit.;ristorante, trattoria, osteria;bar-caffe'",149,,
"wine,birr.,pub enot.,caff.,the",,VIA,ADRIANO PUBLIO ELIO,94,2410,2,somministrazione,somministrazione,misto,"wine,birr.,pub enot.,caff.,the",67,,
pizzeria,,VIA,AGNELLO,17,209,1,somministrazione,somministrazione,misto,"pizzeria;bar-caffe';ristorante, trattoria, osteria;ristorante",91,,
bar gastronomici e simili,,VIA,AGNELLO,19,209,1,somministrazione,somministrazione,misto,bar gastronomici e simili;bar-caffe',40,,
bar-caffe',,VIA,AGNELLO,8,209,1,somministrazione,somministrazione,misto,"bar-caffe';ristorante, trattoria, osteria",177,,
ristorante,,VIA,AGNELLO,8,209,1,somministrazione,somministrazione,misto,"ristorante;pizzeria;bar-caffe';ristorante, trattoria, osteria",218,,
genere merceol.autorizz.sanit.,,VIA,AGORDAT,25,2362,2,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.,100,,
bar-caffe',,VIA,AJACCIO,15,3246,3,somministrazione,somministrazione,misto,bar-caffe';cibi cotti preconfezionati;tavola fredda;genere merceol.autorizz.sanit.,26,,
bar-caffe',,VIA,AJACCIO,9,3246,3,somministrazione,somministrazione,misto,"bar-caffe';ristorante;ristorante, trattoria, osteria",88,,
